dest_ip,dest_port,metadata_comment
103.17.246.60,1080,proxylist.txt
91.121.106.55,8118,proxylist.txt
103.121.214.50,4145,proxylist.txt
98.178.72.21,10919,proxylist.txt
134.209.29.120,8080,proxylist.txt
122.116.125.115,8888,proxylist.txt
187.95.136.46,5678,proxylist.txt
23.227.38.180,80,proxylist.txt
160.248.7.177,80,proxylist.txt
185.162.231.226,80,proxylist.txt
123.13.218.68,9002,proxylist.txt
34.93.124.44,3128,proxylist.txt
207.254.28.68,2025,proxylist.txt
36.95.169.154,8080,proxylist.txt
192.111.139.162,4145,proxylist.txt
70.166.167.55,57745,proxylist.txt
154.65.39.7,80,proxylist.txt
196.1.93.10,80,proxylist.txt
213.6.68.210,4145,proxylist.txt
45.131.6.218,80,proxylist.txt
159.224.232.194,8888,proxylist.txt
98.154.21.253,4228,proxylist.txt
176.117.104.24,8080,proxylist.txt
41.65.160.173,1976,proxylist.txt
209.97.150.167,80,proxylist.txt
117.54.114.35,80,proxylist.txt
46.171.28.162,59311,proxylist.txt
154.194.12.245,80,proxylist.txt
185.146.173.20,80,proxylist.txt
103.21.244.61,80,proxylist.txt
141.193.213.141,80,proxylist.txt
185.162.229.194,80,proxylist.txt
172.67.177.123,80,proxylist.txt
27.254.217.116,8081,proxylist.txt
203.217.101.144,80,proxylist.txt
172.67.201.139,80,proxylist.txt
66.235.200.170,80,proxylist.txt
172.67.70.80,80,proxylist.txt
103.156.74.184,8081,proxylist.txt
192.252.216.81,4145,proxylist.txt
108.162.199.4,80,proxylist.txt
212.2.234.165,8080,proxylist.txt
184.181.217.206,4145,proxylist.txt
142.54.236.97,4145,proxylist.txt
173.44.175.226,3128,proxylist.txt
52.188.28.218,3128,proxylist.txt
41.32.39.7,3128,proxylist.txt
185.84.162.116,3128,proxylist.txt
81.90.149.188,3128,proxylist.txt
186.26.92.180,58339,proxylist.txt
204.199.140.20,999,proxylist.txt
72.195.34.42,4145,proxylist.txt
141.101.122.147,80,proxylist.txt
14.205.92.169,8854,proxylist.txt
103.227.24.194,3128,proxylist.txt
101.71.143.237,8092,proxylist.txt
141.101.122.211,80,proxylist.txt
45.12.30.136,80,proxylist.txt
198.177.253.13,4145,proxylist.txt
202.58.77.19,3127,proxylist.txt
72.195.101.99,4145,proxylist.txt
45.12.30.13,80,proxylist.txt
172.67.70.163,80,proxylist.txt
188.114.96.210,80,proxylist.txt
108.162.193.112,80,proxylist.txt
172.67.70.178,80,proxylist.txt
45.131.5.172,80,proxylist.txt
157.66.16.54,8989,proxylist.txt
172.67.204.170,80,proxylist.txt
172.64.149.30,80,proxylist.txt
141.101.122.61,80,proxylist.txt
45.131.5.121,80,proxylist.txt
45.12.31.215,80,proxylist.txt
185.162.228.161,80,proxylist.txt
14.241.130.94,1452,proxylist.txt
184.182.240.12,4145,proxylist.txt
184.185.2.12,4145,proxylist.txt
174.77.111.196,4145,proxylist.txt
8.219.77.141,80,proxylist.txt
108.162.192.31,80,proxylist.txt
108.162.192.185,80,proxylist.txt
185.221.160.127,80,proxylist.txt
216.205.52.143,80,proxylist.txt
45.67.215.128,80,proxylist.txt
108.162.192.164,80,proxylist.txt
185.221.160.123,80,proxylist.txt
221.231.13.198,1080,proxylist.txt
203.19.38.114,1080,proxylist.txt
8.212.165.33,3333,proxylist.txt
116.98.50.140,1080,proxylist.txt
208.65.90.3,4145,proxylist.txt
177.68.149.141,1080,proxylist.txt
198.177.254.157,4145,proxylist.txt
208.65.90.21,4145,proxylist.txt
134.199.159.23,1080,proxylist.txt
141.101.113.17,80,proxylist.txt
108.162.192.132,80,proxylist.txt
141.101.113.20,80,proxylist.txt
103.82.27.24,10001,proxylist.txt
47.237.132.36,33333,proxylist.txt
216.68.128.121,4145,proxylist.txt
66.42.224.229,41679,proxylist.txt
8.220.194.115,1080,proxylist.txt
184.178.172.26,4145,proxylist.txt
67.201.33.10,25283,proxylist.txt
98.170.57.231,4145,proxylist.txt
98.188.47.150,4145,proxylist.txt
72.207.109.5,4145,proxylist.txt
45.61.188.134,44499,proxylist.txt
199.102.104.70,4145,proxylist.txt
72.37.217.3,4145,proxylist.txt
192.111.129.145,16894,proxylist.txt
