metadata_alive,metadata_alive_since,metadata_anonymity,metadata_average_timeout,metadata_first_seen,metadata_asn,metadata_asname,metadata_city,metadata_continent,metadata_continent_code,metadata_country,metadata_country_code,metadata_district,metadata_hosting,metadata_isp,metadata_latitude,metadata_longitude,metadata_mobile,metadata_org,metadata_proxy,metadata_region,metadata_status,metadata_timezone,metadata_zip,metadata_last_update,metadata_last_seen,dest_port,metadata_protocol,metadata_proxy_address,metadata_ssl,metadata_timeout,metadata_times_alive,metadata_times_dead,metadata_uptime,dest_ip
True,1763476474.7244,elite,115.70045612642,1720479023.5895,"AS209242 Cloudflare London, LLC",CLOUDFLARESPECTRUM,London,Europe,EU,United Kingdom,GB,,True,Invermae Solutions SL,51.5072,-0.127586,False,Invermae Solutions SL,True,England,success,Europe/London,W1B,1764663350,1765216799.5354,80,http,185.238.228.173:80,False,105.10063171387,96341,2386,97.583234576154,185.238.228.173
True,1763476688.4515,elite,115.62327176979,1720455296.5627,"AS209242 Cloudflare London, LLC",CLOUDFLARESPECTRUM,London,Europe,EU,United Kingdom,GB,,True,Invermae Solutions SL,51.5072,-0.127586,False,Invermae Solutions SL,True,England,success,Europe/London,W1B,1764663442,1765216799.4939,80,http,185.238.228.18:80,False,92.311382293701,96509,4944,95.126807487211,185.238.228.18
True,1763477818.2122,elite,115.6650484835,1750622522.4661,AS14197 HEALTH MARKET SCIENCE,HMS-ASN,Boca Raton,North America,,United States,US,,False,Health Market Science,26.4076,-80.0977,False,LexisNexis Risk Data Management Inc,True,Florida,success,America/New_York,33487,1764663523,1765216799.3904,80,http,69.84.182.47:80,False,86.475372314453,98395,187,99.810310198616,69.84.182.47
True,1765020479.6327,elite,116.01212260648,1742333730.2992,"AS209242 Cloudflare London, LLC",CLOUDFLARESPECTRUM,Frankfurt am Main,Europe,EU,Germany,DE,,True,Gerondata LTD,50.1109,8.68213,False,Gerondata LTD,True,Hesse,success,Europe/Berlin,60313,1764663663,1765216799.3604,80,http,102.177.176.8:80,False,64.894676208496,93157,4538,95.354931163314,102.177.176.8
True,1763482089.8693,elite,115.6730257592,1750621884.3603,"AS209242 Cloudflare London, LLC",CLOUDFLARESPECTRUM,New York,North America,,United States,US,,True,"Cloudflare London, LLC",40.7191,-74.0091,False,Olo Inc,True,New York,success,America/New_York,10013,1764664174,1765216799.2563,80,http,216.205.52.159:80,False,89.496850967407,95729,200,99.791512472766,216.205.52.159
True,1765175777.6517,elite,121.25390807917,1754411856.5409,"AS209242 Cloudflare London, LLC",CLOUDFLARESPECTRUM,Frankfurt am Main,Europe,EU,Germany,DE,,True,Gerondata LTD,50.1109,8.68213,False,Gerondata LTD,True,Hesse,success,Europe/Berlin,60313,1764695692,1765216799.1311,80,http,102.177.176.222:80,False,76.517105102539,70126,1281,98.206058229585,102.177.176.222
True,1763476360.3349,elite,115.61514685664,1742447100.9519,"AS209242 Cloudflare London, LLC",CLOUDFLARESPECTRUM,San Jose,North America,,United States,US,Ballbach and SOFA,True,"Cloudflare London, LLC",37.3329,-121.895,False,"Zoom Video Communications, Inc",True,California,success,America/Los_Angeles,95113,1764663821,1765216799.0709,80,http,170.114.45.146:80,False,34.192323684692,95177,1083,98.874922086017,170.114.45.146
True,1763476464.0908,elite,126.77825484684,1756297450.8224,"AS209242 Cloudflare London, LLC",CLOUDFLARESPECTRUM,San Jose,North America,,United States,US,Ballbach and SOFA,True,"Cloudflare London, LLC",37.3329,-121.895,False,"Zoom Video Communications, Inc",True,California,success,America/Los_Angeles,95113,1764766309,1765216798.9982,80,http,170.114.45.44:80,False,345.95012664795,59447,180,99.698123333389,170.114.45.44
True,1765207924.6057,elite,156.45234925406,1765207924.6057,"AS13335 Cloudflare, Inc.",CLOUDFLARENET,Washington,North America,,United States,US,,True,"Cloudflare, Inc.",38.9072,-77.0369,False,"CloudFlare, Inc.",False,District of Columbia,success,America/New_York,20068,1765207925,1765216798.9786,80,http,141.101.113.223:80,False,95.054388046265,56,0,100.0,141.101.113.223
True,1764950271.0587,elite,147.87012966056,1764742785.4095,"AS13335 Cloudflare, Inc.",CLOUDFLARENET,Toronto,North America,,Canada,CA,,True,"Cloudflare, Inc.",43.6532,-79.3832,False,"Cloudflare, Inc.",False,Ontario,success,America/Toronto,M5A,1764742785,1765216798.9158,80,http,108.162.193.163:80,False,390.19918441772,3116,1,99.967917869747,108.162.193.163
True,1765087681.9126,elite,115.53099854524,1720481326.4592,"AS209242 Cloudflare London, LLC",CLOUDFLARESPECTRUM,London,Europe,EU,United Kingdom,GB,,True,Invermae Solutions SL,51.5072,-0.127586,False,Invermae Solutions SL,True,England,success,Europe/London,W1B,1764663935,1765216798.8752,80,http,185.238.228.247:80,False,531.57258033752,96772,5539,94.586114885007,185.238.228.247
True,1765209979.0675,elite,115.27494834591,1742423838.0147,"AS209242 Cloudflare London, LLC",CLOUDFLARESPECTRUM,New York,North America,,United States,US,,True,"Cloudflare London, LLC",40.7191,-74.0091,False,Olo Inc,True,New York,success,America/New_York,10013,1764663251,1765216798.7525,80,http,216.205.52.134:80,False,206.25042915344,95936,3461,96.518003561476,216.205.52.134
True,1764739525.0397,elite,148.79899810575,1764739525.0397,"AS13335 Cloudflare, Inc.",CLOUDFLARENET,Toronto,North America,,Canada,CA,,True,"Cloudflare, Inc.",43.6532,-79.3832,False,"Cloudflare, Inc.",False,Ontario,success,America/Toronto,M5A,1764739525,1765216798.7406,80,http,108.162.193.179:80,False,158.68663787842,3138,0,100.0,108.162.193.179
True,1765192098.1804,elite,141.54606294599,1761068990.6924,"AS13335 Cloudflare, Inc.",CLOUDFLARENET,Toronto,North America,,Canada,CA,,True,"Cloudflare, Inc.",43.6532,-79.3832,False,"Cloudflare, Inc.",False,Ontario,success,America/Toronto,M5A,1764698616,1765216798.6624,80,http,108.162.192.113:80,False,134.52458381653,29281,94,99.68,108.162.192.113
True,1763476294.8771,elite,141.36716369866,1761067529.8841,"AS13335 Cloudflare, Inc.",CLOUDFLARENET,San Francisco,North America,,United States,US,South Beach,True,"Cloudflare, Inc.",37.7803,-122.39,False,Level 3,False,California,success,America/Los_Angeles,94107,1764696910,1765216798.6475,80,http,8.35.211.159:80,False,288.85626792908,29310,93,99.683705744312,8.35.211.159
True,1763476464.7351,elite,115.77192560269,1742334905.1952,"AS209242 Cloudflare London, LLC",CLOUDFLARESPECTRUM,Frankfurt am Main,Europe,EU,Germany,DE,,True,Gerondata LTD,50.1109,8.68213,False,Gerondata LTD,True,Hesse,success,Europe/Berlin,60313,1764663627,1765216798.3598,80,http,102.177.176.218:80,False,30.352354049683,93077,4558,95.331592154453,102.177.176.218
True,1765208199.3239,elite,162.74688894098,1765208199.3239,"AS13335 Cloudflare, Inc.",CLOUDFLARENET,Washington,North America,,United States,US,,True,"Cloudflare, Inc.",38.9072,-77.0369,False,"CloudFlare, Inc.",False,District of Columbia,success,America/New_York,20068,1765208200,1765216798.2116,80,http,141.101.113.163:80,False,235.42022705078,55,0,100.0,141.101.113.163
True,1763481258.7583,elite,115.0737712152,1720457303.2159,"AS209242 Cloudflare London, LLC",CLOUDFLARESPECTRUM,London,Europe,EU,United Kingdom,GB,,True,Invermae Solutions SL,51.5072,-0.127586,False,Invermae Solutions SL,True,England,success,Europe/London,W1B,1764967282,1765216798.0845,80,http,185.238.228.127:80,False,298.17700386047,96342,2713,97.261117560951,185.238.228.127
True,1765205999.4567,elite,146.91900875833,1765205999.4567,"AS13335 Cloudflare, Inc.",CLOUDFLARENET,Washington,North America,,United States,US,,True,"Cloudflare, Inc.",38.9072,-77.0369,False,"CloudFlare, Inc.",False,District of Columbia,success,America/New_York,20068,1765206000,1765216797.9815,80,http,141.101.113.178:80,False,389.23239707947,72,0,100.0,141.101.113.178
True,1765081963.3106,elite,146.49779839345,1764741754.9416,"AS209242 Cloudflare London, LLC",CLOUDFLARESPECTRUM,San Jose,North America,,United States,US,Ballbach and SOFA,True,"Cloudflare London, LLC",37.3329,-121.895,False,"Zoom Video Communications, Inc",False,California,success,America/Los_Angeles,95113,1764741755,1765216797.6733,80,http,170.114.45.70:80,False,454.0159702301,3012,2,99.933642999336,170.114.45.70
True,1765175607.9198,elite,115.74193101252,1750610128.9814,"AS209242 Cloudflare London, LLC",CLOUDFLARESPECTRUM,Frankfurt am Main,Europe,EU,Germany,DE,,True,Gerondata LTD,50.1109,8.68213,False,Gerondata LTD,True,Hesse,success,Europe/Berlin,60313,1764663767,1765216797.5266,80,http,102.177.176.20:80,False,1838.8493061066,92971,1264,98.658672467767,102.177.176.20
True,1765015946.8676,elite,116.25718983337,1742539483.3685,AS14197 HEALTH MARKET SCIENCE,HMS-ASN,Boca Raton,North America,,United States,US,,False,Health Market Science,26.4076,-80.0977,False,LexisNexis Risk Data Management Inc,True,Florida,success,America/New_York,33487,1764663563,1765216796.7585,80,http,69.84.182.147:80,False,103.04141044617,98551,804,99.190780534447,69.84.182.147
True,1763476426.3656,elite,141.31229371443,1761067969.2003,"AS36062 DoubleVerify, Inc.",DOUBLE-VERIFY,Wilmington,North America,,United States,US,Mid-town Brandywine,False,"DoubleVerify, Inc.",39.749,-75.5461,False,"DoubleVerify, Inc.",True,Delaware,success,America/New_York,19801,1764697158,1765216796.6776,80,http,74.80.226.196:80,False,102.95128822327,29305,94,99.680261233375,74.80.226.196
