dest_ip,dest_port,metadata_comment
206.123.156.215,4280,proxy.txt
206.123.156.217,11729,proxy.txt
206.123.156.215,6033,proxy.txt
206.123.156.199,4785,proxy.txt
206.123.156.199,4876,proxy.txt
206.123.156.215,30372,proxy.txt
206.123.156.199,7902,proxy.txt
206.123.156.215,30759,proxy.txt
206.123.156.199,13619,proxy.txt
206.123.156.199,6677,proxy.txt
206.123.156.215,5973,proxy.txt
206.123.156.228,9398,proxy.txt
206.123.156.217,18134,proxy.txt
206.123.156.215,5579,proxy.txt
206.123.156.219,6081,proxy.txt
206.123.156.233,6594,proxy.txt
206.123.156.233,6888,proxy.txt
206.123.156.215,27851,proxy.txt
206.123.156.215,5829,proxy.txt
129.153.194.16,1080,proxy.txt
206.123.156.215,6001,proxy.txt
206.123.156.233,4998,proxy.txt
206.123.156.199,7275,proxy.txt
206.123.156.199,7405,proxy.txt
206.123.156.228,4913,proxy.txt
206.123.156.217,7730,proxy.txt
206.123.156.199,7380,proxy.txt
206.123.156.219,5783,proxy.txt
206.123.156.199,10162,proxy.txt
206.123.156.233,5313,proxy.txt
206.123.156.217,5009,proxy.txt
206.123.156.233,8815,proxy.txt
206.123.156.233,10148,proxy.txt
206.123.156.228,10350,proxy.txt
206.123.156.236,8199,proxy.txt
206.123.156.215,5630,proxy.txt
206.123.156.217,5483,proxy.txt
206.123.156.219,5508,proxy.txt
206.123.156.228,7109,proxy.txt
206.123.156.228,6633,proxy.txt
206.123.156.233,8000,proxy.txt
206.123.156.233,4884,proxy.txt
206.123.156.217,6252,proxy.txt
206.123.156.233,10390,proxy.txt
206.123.156.209,7477,proxy.txt
206.123.156.236,8915,proxy.txt
206.123.156.236,7526,proxy.txt
144.91.111.48,1088,proxy.txt
204.48.29.137,1088,proxy.txt
212.77.75.25,1088,proxy.txt
51.210.5.144,1088,proxy.txt
212.3.127.242,10801,proxy.txt
140.238.241.74,1080,proxy.txt
206.123.156.233,10816,proxy.txt
206.123.156.199,7073,proxy.txt
206.123.156.233,6873,proxy.txt
206.123.156.233,6428,proxy.txt
206.123.156.230,4391,proxy.txt
206.123.156.217,5503,proxy.txt
206.123.156.230,10303,proxy.txt
206.123.156.219,5184,proxy.txt
206.123.156.233,8904,proxy.txt
206.123.156.199,6460,proxy.txt
206.123.156.236,5379,proxy.txt
206.123.156.219,7902,proxy.txt
206.123.156.219,7685,proxy.txt
206.123.156.228,8523,proxy.txt
206.123.156.233,5791,proxy.txt
206.123.156.236,37791,proxy.txt
206.123.156.228,30014,proxy.txt
206.123.156.217,6563,proxy.txt
206.123.156.199,8353,proxy.txt
206.123.156.233,5053,proxy.txt
206.123.156.233,4461,proxy.txt
206.123.156.233,4362,proxy.txt
43.248.10.236,1080,proxy.txt
206.123.156.233,5737,proxy.txt
206.123.156.233,10307,proxy.txt
167.86.79.35,1080,proxy.txt
